epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0489,2.42131,4.10828,1.70015,0.00514,0.5,0.00703,0.00349,1.6095,3.97279,1.16899,0.00018,0.00018,0.00018
2,153.614,1.43508,2.16781,1.0435,0.01009,0.98246,0.02121,0.01266,1.18195,3.40886,0.91477,0.00036746,0.00036746,0.00036746
3,224.698,1.25452,1.663,1.01098,0.01018,0.99123,0.01908,0.01231,1.05504,3.33305,0.87388,0.00054172,0.00054172,0.00054172
4,296.294,1.15186,1.34074,0.97073,0.01018,0.99123,0.02091,0.01385,1.03925,3.29051,0.88034,0.00070278,0.00070278,0.00070278
5,366.381,1.06719,1.24413,0.93458,0.01027,1,0.03018,0.02162,1.01623,3.06957,0.88138,0.00085064,0.00085064,0.00085064
6,437.733,1.01675,1.18107,0.94529,0.01027,1,0.09964,0.07426,0.97569,2.75715,0.87799,0.0009853,0.0009853,0.0009853
7,507.289,1.01388,1.14056,0.92636,0.01524,0.99123,0.29688,0.19579,1.00332,2.60947,0.88521,0.00110676,0.00110676,0.00110676
8,578.439,1.1291,1.1194,0.95464,0.45791,0.35569,0.42753,0.25129,1.36606,2.24714,0.96988,0.00121502,0.00121502,0.00121502
9,649.408,1.05358,1.04951,0.93892,0.82062,0.5618,0.80152,0.5171,1.14305,2.0811,0.9262,0.00131008,0.00131008,0.00131008
10,719.538,1.04354,1.07267,0.95137,0.80499,0.97767,0.91137,0.70955,0.91734,1.36481,0.87342,0.00139194,0.00139194,0.00139194
11,795.029,1.02041,1.06737,0.93073,0.84324,0.94737,0.92121,0.71709,1.00559,1.22835,0.8959,0.00134,0.00134,0.00134
12,865.232,0.93501,0.93923,0.89524,0.82494,0.97368,0.87507,0.71409,0.81154,1.20023,0.85152,0.001274,0.001274,0.001274
13,935.643,0.92586,0.93842,0.89482,0.82256,0.97595,0.90878,0.73126,0.89372,1.05795,0.86771,0.001208,0.001208,0.001208
14,1007.32,0.93922,0.94612,0.90999,0.80953,0.96938,0.86703,0.70868,0.79957,1.07924,0.85391,0.001142,0.001142,0.001142
15,1078.94,0.87164,0.94134,0.90649,0.8148,0.97368,0.90501,0.74573,0.82041,1.00081,0.86367,0.001076,0.001076,0.001076
16,1149.63,0.83304,0.85426,0.88583,0.83744,0.94901,0.8751,0.70665,0.79026,1.04585,0.85436,0.00101,0.00101,0.00101
17,1222.98,0.85876,0.84867,0.89003,0.83847,0.9386,0.89069,0.73404,0.80227,0.98582,0.85079,0.000944,0.000944,0.000944
18,1296.82,0.84385,0.81736,0.88253,0.79896,0.98246,0.90012,0.74254,0.85971,0.89747,0.85613,0.000878,0.000878,0.000878
19,1368.93,0.82842,0.8024,0.88452,0.80902,0.97368,0.89877,0.73982,0.77848,0.89858,0.85211,0.000812,0.000812,0.000812
20,1438.41,0.80914,0.79764,0.89153,0.81214,0.94805,0.9197,0.75256,0.87479,0.90829,0.86447,0.000746,0.000746,0.000746
21,1508.45,0.73461,0.853,0.86289,0.8063,0.95614,0.91999,0.74254,0.84237,1.08053,0.86019,0.00068,0.00068,0.00068
22,1581.78,0.7438,0.85844,0.86613,0.79901,0.98246,0.93208,0.78386,0.78229,0.88303,0.85052,0.000614,0.000614,0.000614
23,1655.31,0.6846,0.82643,0.87073,0.83359,0.92278,0.93176,0.75822,0.7838,0.90687,0.85277,0.000548,0.000548,0.000548
24,1730.39,0.72457,0.80658,0.86503,0.86964,0.91228,0.92872,0.77035,0.75101,0.89806,0.84681,0.000482,0.000482,0.000482
25,1810,0.70943,0.79465,0.87127,0.88355,0.93179,0.92894,0.76052,0.77746,0.87802,0.85349,0.000416,0.000416,0.000416
26,1888.23,0.67427,0.75254,0.85213,0.86442,0.92982,0.9362,0.78139,0.75254,0.85535,0.84661,0.00035,0.00035,0.00035
27,1959.28,0.6807,0.74653,0.85557,0.83462,0.97395,0.9289,0.76771,0.73969,0.86419,0.84445,0.000284,0.000284,0.000284
28,2026.75,0.68981,0.75716,0.86873,0.8381,0.97368,0.92565,0.76211,0.73066,0.85849,0.84322,0.000218,0.000218,0.000218
29,2095.49,0.62845,0.7078,0.8516,0.83691,0.97368,0.92981,0.76827,0.74697,0.84869,0.84471,0.000152,0.000152,0.000152
30,2169.25,0.63318,0.70554,0.84248,0.83394,0.97368,0.925,0.76395,0.74303,0.84204,0.84555,8.6e-05,8.6e-05,8.6e-05
