epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.1837,2.76006,5.35307,2.52773,0.00115,0.45,0.00856,0.00299,2.14242,5.68906,2.31096,0.00016,0.00016,0.00016
2,117.435,2.24102,4.5682,2.07627,0.00212,0.825,0.01403,0.00318,1.93007,4.96607,1.84406,0.000339668,0.000339668,0.000339668
3,170.067,1.98384,4.43134,1.87698,0.00218,0.85,0.02948,0.00731,1.77491,4.62546,1.7699,0.00051797,0.00051797,0.00051797
4,222.947,1.83053,4.2174,1.79268,0.00231,0.9,0.01791,0.0046,1.70247,4.77229,1.67194,0.000693863,0.000693863,0.000693863
5,275.074,1.87495,3.78634,1.85374,0.00179,0.7,0.00238,0.00081,1.81347,4.75402,2.14493,0.000866315,0.000866315,0.000866315
6,327.932,1.91546,3.89411,1.90542,0.00154,0.6,0.0017,0.00058,1.8418,4.99959,2.74646,0.00103432,0.00103432,0.00103432
7,379.898,1.89202,3.714,1.86312,0.0042,0.225,0.00347,0.00135,1.75111,6.40137,2.63265,0.0011969,0.0011969,0.0011969
8,432.698,1.91526,3.60597,1.92246,0.01986,0.025,0.00758,0.00174,2.0037,17.5106,3.4856,0.0013531,0.0013531,0.0013531
9,484.577,1.82133,3.40113,1.93108,0.03105,0.05,0.00748,0.00265,1.89398,9.66962,2.76658,0.00150203,0.00150203,0.00150203
10,536.255,1.78764,3.49287,1.82701,0.01087,0.025,0.01002,0.0038,2.00585,4.50152,2.59412,0.00164284,0.00164284,0.00164284
11,588.819,2.00631,3.33903,1.96425,0.05186,0.075,0.05283,0.0212,1.87678,3.9855,2.43711,0.00177471,0.00177471,0.00177471
12,640.517,1.80558,3.24925,1.79987,0.06152,0.05,0.02367,0.01143,1.74359,3.69659,2.13978,0.00177281,0.00177281,0.00177281
13,691.405,1.84457,3.02864,1.88321,0.42066,0.25,0.23216,0.14667,1.62537,3.27048,1.87985,0.00173168,0.00173168,0.00173168
14,743.728,1.93129,3.10587,1.9733,0.36252,0.25,0.26117,0.14747,1.65576,3.44328,1.95678,0.0016877,0.0016877,0.0016877
15,796.452,1.87229,3.04431,1.94342,0.76593,0.2,0.26077,0.1664,1.658,3.03973,2.00776,0.00164105,0.00164105,0.00164105
