epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39414,0,22.6398,0,0,0,0,0,0,18.5089,0,0,0,0
2,4.77382,0,22.6563,0,0,0,0,0,0,18.5203,0,1.9604e-05,1.9604e-05,1.9604e-05
3,7.19644,0,22.6622,0,0,0,0,0,0,18.5318,0,3.8416e-05,3.8416e-05,3.8416e-05
4,9.5564,0,22.4642,0,0,0,0,0,0,18.5419,0,5.6436e-05,5.6436e-05,5.6436e-05
5,11.8432,0,22.2443,0,0,0,0,0,0,18.5538,0,7.3664e-05,7.3664e-05,7.3664e-05
6,14.0673,0,22.2048,0,0,0,0,0,0,18.5604,0,9.01e-05,9.01e-05,9.01e-05
7,16.3166,0,22.0991,0,0,0,0,0,0,18.5602,0,0.000105744,0.000105744,0.000105744
8,18.578,0,21.9208,0,0,0,0,0,0,18.5597,0,0.000120596,0.000120596,0.000120596
9,20.8395,0,21.8044,0,0,0,0,0,0,18.5612,0,0.000134656,0.000134656,0.000134656
10,22.9762,0,21.6906,0,0,0,0,0,0,18.566,0,0.000147924,0.000147924,0.000147924
11,25.148,0,21.5676,0,0,0,0,0,0,18.574,0,0.0001604,0.0001604,0.0001604
12,27.2425,0,21.382,0,0,0,0,0,0,18.5834,0,0.000172084,0.000172084,0.000172084
13,29.4275,0,21.2424,0,0,0,0,0,0,18.5967,0,0.000182976,0.000182976,0.000182976
14,32.0473,0,21.0669,0,0,0,0,0,0,18.6105,0,0.000193076,0.000193076,0.000193076
15,34.2854,0,20.8724,0,0,0,0,0,0,18.6279,0,0.000202384,0.000202384,0.000202384
16,36.5876,0,20.7051,0,0,0,0,0,0,18.6433,0,0.0002109,0.0002109,0.0002109
17,38.7065,0,20.5358,0,0,0,0,0,0,18.66,0,0.000218624,0.000218624,0.000218624
18,40.8159,0,20.2167,0,0,0,0,0,0,18.66,0,0.000225556,0.000225556,0.000225556
19,42.9813,0,20.1538,0,0,0,0,0,0,18.669,0,0.000231696,0.000231696,0.000231696
20,45.2674,0,19.8462,0,0,0,0,0,0,18.669,0,0.000237044,0.000237044,0.000237044
21,47.988,0,19.9496,0,0,0,0,0,0,18.6772,0,0.0002416,0.0002416,0.0002416
22,50.2076,0,19.7316,0,0,0,0,0,0,18.6772,0,0.000245364,0.000245364,0.000245364
23,52.6693,0,19.6548,0,0,0,0,0,0,18.6812,0,0.000248336,0.000248336,0.000248336
24,55.2426,0,19.4193,0,0,0,0,0,0,18.6812,0,0.000250516,0.000250516,0.000250516
25,57.573,0,19.3115,0,0,0,0,0,0,18.6853,0,0.000251904,0.000251904,0.000251904
26,59.7588,0,19.1165,0,0,0,0,0,0,18.6853,0,0.0002525,0.0002525,0.0002525
27,62.1899,0,18.9693,0,0,0,0,0,0,18.6747,0,0.000252304,0.000252304,0.000252304
28,64.3727,0,18.5785,0,0,0,0,0,0,18.6747,0,0.000251316,0.000251316,0.000251316
29,66.6039,0,18.7957,0,0,0,0,0,0,18.6574,0,0.000249536,0.000249536,0.000249536
30,68.6757,0,18.347,0,0,0,0,0,0,18.6574,0,0.000246964,0.000246964,0.000246964
31,70.8508,0,18.3392,0,0,0,0,0,0,18.6156,0,0.0002436,0.0002436,0.0002436
32,73.4081,0,18.0996,0,0,0,0,0,0,18.6156,0,0.000239444,0.000239444,0.000239444
33,75.7839,0,18.0027,0,0,0,0,0,0,18.5386,0,0.000234496,0.000234496,0.000234496
34,77.9332,0,17.7471,0,0,0,0,0,0,18.5386,0,0.000228756,0.000228756,0.000228756
35,80.1541,0,17.7531,0,0,0,0,0,0,18.4715,0,0.000222224,0.000222224,0.000222224
36,82.3555,0,17.6189,0,0,0,0,0,0,18.4715,0,0.0002149,0.0002149,0.0002149
37,84.6745,0,17.4919,0,0,0,0,0,0,18.3618,0,0.000206784,0.000206784,0.000206784
38,86.8176,0,17.0818,0,0,0,0,0,0,18.3618,0,0.000197876,0.000197876,0.000197876
39,88.9593,0,17.3098,0,0,0,0,0,0,18.2276,0,0.000188176,0.000188176,0.000188176
40,91.0667,0,17.0299,0,0,0,0,0,0,18.2276,0,0.000177684,0.000177684,0.000177684
41,93.4371,0,16.9288,0,0,0,0,0,0,18.0921,0,0.0001664,0.0001664,0.0001664
42,95.502,0,16.6726,0,0,0,0,0,0,18.0921,0,0.000154324,0.000154324,0.000154324
43,97.6811,0,16.9011,0,0,0,0,0,0,17.9653,0,0.000141456,0.000141456,0.000141456
44,99.8498,0,16.4715,0,0,0,0,0,0,17.9653,0,0.000127796,0.000127796,0.000127796
45,102.592,0,16.3879,0,0,0,0,0,0,17.843,0,0.000113344,0.000113344,0.000113344
46,104.753,0,17.0994,0,0,0,0,0,0,17.843,0,9.81e-05,9.81e-05,9.81e-05
47,107.008,0,16.3583,0,0,0,0,0,0,17.7453,0,8.2064e-05,8.2064e-05,8.2064e-05
48,109.386,0,16.4912,0,0,0,0,0,0,17.7453,0,6.5236e-05,6.5236e-05,6.5236e-05
49,111.852,0,16.2488,0,0,0,0,0,0,17.6492,0,4.7616e-05,4.7616e-05,4.7616e-05
50,114.048,0,16.0947,0,0,0,0,0,0,17.6492,0,2.9204e-05,2.9204e-05,2.9204e-05
